model_name,wine_type,accuracy,precision,recall,f1,n_estimators,learning_rate,base_estimator_max_depth,random_state,timestamp
"AdaBoost (n_estimators=100, lr=1.0)",red,0.6375,0.6470176236463784,0.6375,0.6350747847636965,100,1.0,1,49,2025-12-04T19:23:05.158006
"AdaBoost (n_estimators=100, lr=1.0)",red,0.6583333333333333,0.6641457202591803,0.6583333333333333,0.6603262757189713,100,1.0,2,49,2025-12-04T19:23:05.651313
"AdaBoost (n_estimators=100, lr=1.0)",red,0.65625,0.6684449912129727,0.65625,0.6573733203426299,100,1.0,3,49,2025-12-04T19:23:05.812472
