model_name,wine_type,accuracy,precision,recall,f1,n_estimators,learning_rate,base_estimator_max_depth,random_state,timestamp
"AdaBoost (n_estimators=100, lr=1.0)",white,0.5476190476190477,0.5504444115416655,0.5476190476190477,0.5421709549292846,100,1.0,1,49,2025-12-04T19:23:06.075199
"AdaBoost (n_estimators=100, lr=1.0)",white,0.5598639455782313,0.5662601294869849,0.5598639455782313,0.556610418787009,100,1.0,2,49,2025-12-04T19:23:07.010638
"AdaBoost (n_estimators=100, lr=1.0)",white,0.572108843537415,0.5740540345048778,0.572108843537415,0.572083137663854,100,1.0,3,49,2025-12-04T19:23:07.369725
