model_name,wine_type,accuracy,precision,recall,f1,confusion_matrix,timestamp
Stratified Baseline Model,red,0.35833333333333334,0.363764805480156,0.35833333333333334,0.3609417356932158,"[[ 8 31 26]
 [36 95 92]
 [30 93 69]]",2025-11-18T12:15:21.151438
Stratified Baseline Model,red,0.35833333333333334,0.363764805480156,0.35833333333333334,0.3609417356932158,"[[ 8 31 26]
 [36 95 92]
 [30 93 69]]",2025-11-18T12:16:44.502874
Stratified Baseline Model,red,0.35833333333333334,0.363764805480156,0.35833333333333334,0.3609417356932158,"[[ 8 31 26]
 [36 95 92]
 [30 93 69]]",2025-11-18T12:16:57.343432
